threescore,"70세, 60세"
schoolman,교수
forejudge,"박탈하다, 추방하다"
forjudge,"박탈하다, 추방하다"
schoolmarmish,여선생
midway,"오락장거리, 중간쯤에, 중도의"
midrib,"주맥, 중륵"
host,"주인, 숙주, 개최, 주최하다"
major,"큰쪽의, 상사, 전공하다, 대전제"
oblige,하여주다
marine,"해병대, 선박, 해운력, 해운의"
keg,100파운드
tenth,"10일, 10째"
adar,12월
cinquecento,16세기
tier,1단
counterpart,"1통, 계인, 대, 대응부"
freshman,"1학년생의, 신입생, 1년생"
triploid,"3배수의, 3배체"
quadraphonic,4채널방식
fourstroke,4행정의
six,"6배의, 6겹의, 6의, 여섯"
novena,9일기도
proximal,가까운
flush,"가득찬, 날아올림, 붉어지다, 새떼"
submerge,"가라앉다, 잠항하다"
lull,"가라앉히다, 달래다, 두절, 잠잠함"
hedge,"가로막다, 바자울, 장벽"
tread,"가로장, 걸음걸이, 레일접촉부, 바퀴거리"
accomplish,"가르치다, 관철, 달성하다, 성취하다"
masque,가면극
lace,"가미하다, 편상화, 레이스, 몰"
venial,가벼운
wind,"가스, 감다, 관악기, 다감다"
martingale,가슴걸이
house,"가옥, 사옥, 시댁, 인가"
building,"가옥, 건물, 빌딩, 조영"
verge,가장자리
ladyhelp,가정부
leather,"가죽, 가죽제품"
leash,"가죽끈, 세마리"
tree,"가죽나무, 가꼐도, 나무, 목본"
umiak,가죽배
tine,"가지, 살"
pruning,"가지치기, 전정"
quack,"가짜약, 가짜의"
touch,"가필하다, 터치다운하다, 가미하다, 개시시키다"
interval,"간격, 그간, 새, 차거리"
laconism,간결함
talkfest,간담회
meddling,"간섭, 참견"
once,"간혹, 늘, 옛날, 번만"
shed,"갈다, 내다, 벗다, 탈피하다"
proctor,"감독하다., 대리인, 대소인, 학생감"
saccharine,감미로운
melting,"감상적인, 용해, 융해"
tidewaiter,감시원
watch,"감시하다, 조심하다, 간호하다, 감시"
ooze,"감탕흙, 새다, 스며나오는, 곤죽같은"
calyptra,"갓, 내피막"
tabling,"갓천, 갓돌, 냅킨, 맞물리기"
coel-,강의뜻
tiger,"강적, 범, 호랑이"
wish,"강제하다, 기원, 바라다, 바람"
tone,"강해지다, 가락, 기풍, 논조"
mephistophelean,같은
mephistophelian,같은
throwoff,개시
privatism,개인주의
son,"개자식, 맏이, 아들, 자제"
term,"개정기, 기일, 조건, 기한"
juridical,"개정일, 법인, 재판상의"
houselights,객석조명
upside,"거꾸로, 상부"
score,"거두다, 얻다, 득점, 득점하다"
veto,"거부권, 거부의, 그행사"
fur,"거웃, 모피, 버캐, 털"
kind,"거의, 모종, 부류, 색다른"
toehold,"거점, 발비틀기"
makebelieve,"거짓잠, 겉꾸밈"
keyboard,"건반, 자판, 키보드"
hutting,건재
leg,"걷다, 다리"
lash,"걷어차다, 부딪치다, 충격, 빈정댐"
lift,"걷힘, 올림, 승강기, 추켜들다"
hitch,"걸다, 매다, 일치하다, 와락잡아당기다"
mopboard,"걸레받이널, 굽도리널"
take,"걸리다, 매상고, 찍히다, 맞물리다"
agraffe,걸쇠
shuffle,"걸치다, 뒤섞다, 뒤섞음, 발끌기"
metage,"검량, 검량세, 계량"
concern,"것, 관여하다, 배려, 상관"
crust,"겉, 겉껍질, 버캐, 양식"
crawler,"겉옷, 파충류"
write,"게시하다, 써두다, 쓰다, 저작하다"
spate,격발
lattice,격자
last,"견뎌내다, 마지막으로, 지탱하다, 나중"
keep,"견디다, 있다, 갖춰놓다, 망보다"
frazil,결빙
lithic,"결석의, 리듐의"
fructification,결실
logroll,"결탁, 통나무굴리기, 협력하다"
wager,"결투재판, 걸다, 내기"
louse,"결판내다, 기생충"
lack,"결핍되다, 결핍, 미달, 미달로"
unite,"겸비하다, 일치하다, 맺어주다, 뭉치다"
hoarstone,"경계석, 기념석"
sclerometer,경도계
heel,"경사, 굽, 뒤꿈치, 뒷발"
floccinaucinihilipilification,경시
metacentric,경심
scene,"경치, 실황, 음으로, 장면"
metalline,경화하다
work,"계속해일하다, 느즈러지다, 미완성품, 부리다"
link,"고리, 코, 링크, 연접하다"
quarantine,"고립시키다, 검역소, 검역하다, 격리"
mahalo,고맙습니다
valedictory,"고별사, 고별의"
manslaughter,"고살죄, 살인죄"
wool,"고수머리, 모직물, 양털, 털실"
foulup,고장
fritz,고장나서
knickknack,골동품
mark,"골라내다, 구획하다, 형, 과녁"
winnow,"골라내다, 까붐질하다, 켜질하다"
thimble,"골무, 끼움쇠테"
flume,"골짜기, 물받이, 용수로"
light,"공격하다, 광명, 도망치다, 불"
umbilical,"공급선, 생명줄, 배꼽의"
mig,"공기놀이, 미그기"
joint,"공동성명, 관절, 마디, 연대"
jointless,"공동성명, 문란해서"
conspiracy,"공모, 공동모, 불법공모, 음모"
hat,"공손히, 모자"
fringer,"과격론자, 일탈자"
hock,"과관절, 전당, 전당잡히다"
maidan,광장
luster,"광택, 밝기, 빛남, 샹들이에"
glossmeter,광택계
tolerability,괜찮음
ratten,괴롭히다
bother,"괴롭히다, 귀찮게하다, 번민하다"
smite,"괴롭히다, 강타하다, 덮치다"
tease,"괴롭히다, 괴롭히기, 놀려대기, 조르기"
make,"구애하다, 만들다, 벌다, 보충하다"
zoning,"구역제, 지구제"
vermicide,구충제
kuomintang,국민당
state,"국사범, 국유재산, 국무성, 상태"
limited,"국지전, 얼마안되는, 한정된"
liege,"군주, 군주인, 신하, 충성스러운"
sound,"군호하다, 소리, 소리나다, 안전한"
candied,굳어진
deflection,"굴절, 비뚤어짐, 빗나감, 치우침"
refract,굴절시키다
navvy,"굴착기, 인부"
lymphatic,"굼뜬, 임파액의"
stem,"굽, 꽃꼭지, 대, 줄거리"
taliped,굽은
puissance,권력
privilege,"권리, 은전, 특권, 특전"
lip,"귀때, 수다, 표면만의"
verse,"귀절, 글, 시가, 시구"
gentle,"귀천, 샹냥하다, 수련하다, 얌전한"
ordain,규정하다
lane,"규정항로, 시골길"
order,"규칙, 지령, 계, 명령"
balanced,균형식
sic,그대로
though,"그래도, 이지만, 하긴"
scratchy,"그러모은, 가벼운, 까치작거리는"
let,"그만두다, 날리다, 흘리다"
taboo,금기
today,"금일, 오늘, 오늘따라, 이날"
proscription,"금지, 파문"
flipflap,"급변, 전환하는, 덜컥덜컥하며, 역공중제비"
flipflop,"급변, 전환하는, 덜컥덜컥하며, 역공중제비"
hurry,"급함, 서두름, 쉽사리"
power,"기, 공률, 권력, 권세"
vitality,"기, 원기, 활기, 활력"
energy,"기, 에너지, 여력, 원기"
machinery,"기관, 꾸밈, 기계장치, 초자연적사건"
organ,"기관, 오르간"
locomotive,"기관차, 발, 이동력있는"
propylon,기념문
fundi,기능자
functionalism,기능주의
mantra,"기도, 진언"
chaplain,"기도하는사람, 교회사, 군목, 예배당목사"
memorabilia,기록
wave,"기복하다, 물리치다, 격발, 굽이치다"
chevalier,"기사, 훈작사"
fore,"기수에, 전면, 전방에"
science,"기술, 과학, 학술"
mediaperson,"기자, 리포터, 보도원"
fundus,기저부
stun,기절시키다
thalidomide,"기형아, 탈리도마이드"
tame,"길들다, 길들인, 누르다, 복종시키다"
flue,"깃가지, 미늘, 송기관, 연기구멍"
acidic,"까다로운, 가혹한, 산성의, 신랄한"
litter,"깔짚, 낳다, 가마, 들것"
wink,"깜박이다, 반짝이다, 눈깜박임, 눈짓"
chip,"깨다, 공헌하다, 깍다, 깎아내다"
granulative,껄끄러운
twine,"꼬다, 감기, 감기다, 감김"
twist,"꼬다, 구부러지다, 기벽, 비꼬임"
train,"꼬리, 기차, 기차여행, 길들이다"
fully,꼬박
lay,"꼬인자리, 저장하다, 지우다, 지저귐"
stump,"꼬투리, 의족"
misbegotten,"꼴사나운, 덜된"
tailender,"꼴찌, 최하위"
lodge,"꽂다, 꽂히다, 쓰러지다, 수위실"
thumbpot,꽃병
lead,"꾀다, 도량, 맹종시키다, 보내다"
wamble,꾸르륵거리다
machinate,꾸미다
weave,"꾸미다, 얽다, 엮다"
nod,"끄덕이다, 급히다, 꾸벅임, 끄덕임목례"
