70세,threescore
검은고니,black swan
경계인,marginal man
교수,schoolman; Teaching or instruction
그런대로,for what it is worth; Such as it is or anyways
단면,fore edge; cross section
대예언서,(the Major Prophets
뒤집히다,"turn turtle; capsize, overset, overturn, tip over"
박탈하다,"forejudge; forjudge; curtail, dispossess"
스타트하다,get off the mark
여선생,schoolmarmish
열중하여,on the make
오락장거리,midway
점잔빼다,look wise; perk; attitudinize
정상이다,be oneself
주맥,midrib; costa
주인,"host; The head of a family,the owner"
총톤수,gross(net) tonnage; tonnage
큰쪽의,major
통틀어,"in(by)the lump; widely, through and through, throughout"
하여주다,oblige
해병대,marine; Marine Corps; naval brigade
호화판,"edition de luxe; edition, edition de luxe"
100파운드,keg
10걸,the best ten
10일,tenth
12월,Adar; December
16세기,cinquecento
1단,tier; cycle
1차막,primary wall
1통,counterpart
1학년생의,freshman
2등,tourist class; coach
3배수의,triploid
3색판,threecolo(u)r
4채널방식,quadraphonic
4행정의,fourstroke
60년제,diamond (silver) jubilee
6배의,six; sextuple; sixfold
9일기도,novena
가까운,proximal
가끔,once in a while; Sometimes
가두다,"lock in, shut in; to encage, immure, imprison, lock, pen, secure, securely"
가득찬,"flush; brimming with, full with"
가라앉다,"submerge; To sink (calm,settle,subside)"
가라앉히다,"lull; to allay, appease, assuage, calm, compose, pacify, soothe"
가로막다,hedge; Interrupt or obstruct
가로장,"tread; bar, crossbar, crossrail, lateral, rail, railing, rung, spoke, travers"
가르치다,accomplish; To teach
가맹국,member nation
가면극,masque
가미하다,"lace; 1) flavoring, seasoning, additive, 2) a tinge, a touch"
가방,school bag; Bag
가벼운,"venial; bantam, ethereal, feathery, light, mild, scratchy, summerweight"
가스,wind; Gas
가슴걸이,martingale
가옥,"a house, building; tabernacle, temporary shelter; frontage, house, houseroom, tenement"
가장자리,"verge; border, edge, margin, rim, skirt"
가정부,"ladyhelp; chambermaid, family Division, home help, household technician, houseke"
가죽,leather; The skin or hide or leather
가죽끈,"leash; strap, thong, webbing"
가죽나무,tree
가죽배,umiak; bullboat
가지,tine; a tree branch; One of the kind or a sort
가지치기,pruning; cutback; trimming trees by cutting them back
가짜약,quack
가출옥자,ticketofleave man
가필하다,touch
간격,interval; A space or interval
간결함,laconism
간담회,"talkfest; conversazione, sederunt, a meeting for discussion purposes"
간선,"main line; main, main line, main stem, trunk, trunk line"
간섭,meddling; Interfere or meddle
간혹,once; Occasionally or at times
갈기갈기,from limb
갈다,"shed; to plow a field; commute, replace"
감다,wind; Close; Wind up
감독하다.,proctor
감미로운,"saccharine; sweet and good, like honey, luscious, sugared"
감상적인,melting
감시원,tidewaiter; picket; spotter
감시하다,"keep (a) watch; watch; guard, overwatch, watch"
감안,consideration for sth in the figuring of; to think about from many different angles
감찰,"license plate; inspection, licensing inspection, having a a look-see"
감탕흙,ooze
갑자기,all at once; out of a clear sky; Suddenly
갓,"calyptra; mustard; lampshade, bell (of a sunflower plant), cap (of a mushroom)"
갓천,tabling
강의뜻,coel-
강적,tiger; heavy metal
강제하다,"wish; coerce, to force"
강해지다,"tone; to grow, increase, strengthen"
같은,"Mephistophelean, Mephistophelian"
개가식,open access
개괄적으로,in the general; synoptically
개시,"throwoff; opening up for business; to mention, to cite, to specify"
개인주의,privatism; individualism
개자식,son
개정기,term
개정일,juridical; court day
개종하다,find salvation; convert
객석조명,houselights
